state,branch_pin_code
BHADRAVATHI,577301
DAVANAGERE,577004
HAVERI,581110
HONNALI,577217
KADUR,577548
RANEBENNUR,581115
HARAPANAHALLI,583131
HOLALKERE,577526
SHIGGOAN,581205
HASSAN,573201
BELUR,573115
SHIRALKOPPA,577428
JAMKHANDI,587301
ATHANI,591304
BAGALKOT,587102
RAMDURG,591123
HAGARIBOMMANAHALLI,583212
HOSPET,583201
GANGAVATHI,583227
KOPPAL,583231
SINDANOORU,584128
LINGASAGUR,584122
CHAMARAJANAGARA,571313
CHANNAPATNA,562160
CHANNARAYAPATTANA,573116
GUNDLUPET,571111
HEGGADAEVANAKOTE,571114
KOLLEGALA,571440
KRISHNARAJ PET (KR PET),514126
KRISHNARAJANAGAR (KR NAGARA),571602
MALAVALLI,571430
MANDYA,571401
MYSORE,570008
PANDAVAPURA,571434
PIRIYAPATTANA,571107
RAMANAGARA,562159
TIPTUR,572201
BANGARPET,563114
BETHMANAGALA,563116
CHINTAMANI,563125
KOLAR,563101
MULBAGAL,563131
CHIKKBALLAPURA,562101
DODDABALLAPURA,561203
GOWRIBIDANUR,561208
HOSKOTE,562114
MALUR,563130
DABASPET (NELAMANGALA),562123
VIJAYAPURA,562135
BELGAUM,590015
CHIKODI,591201
BAIL HONGAL,591102
SHIRALA,415408
KOLHAPUR,416008
TASGAON,416312
ICHALKARANJI,416115
KARAD,415110
PHALTAN,415523
SATARA,415002
HUBLI,580024
DHARWAD,580001
MANVI,584123
MUDDEBIHAL,586212
BIJAPUR(RO),586109
CHITTAPUR,585211
KALBURGI,585102
SHAHAPUR,585223
HUMNABAD,585330
BHALKI,585328
AURAD,585306
UTHARAMERUR,603406
MADURANTHAKAM,603306
THIRUKALUGUNDRAM,603109
KANCHIPURAM,631501
GINGEE,606202
TINDIVANAM,604001
ULUNDURPETAI,606107
THIRUKOVILUR,605766
KALLAKURCHI,606202
ARANI,632316
THIRUVANNAMALAI,606604
CHETPET,606902
PUDUCHERRY,605110
VIKARAVANDI,605652
SANKARAPURAM,606401
VANIYAMBADI,635752
THIRUPATHUR,635601
HARUR,635903
AMBUR,635802
GUDIYATHAM,632602
PERNAMBUT,635810
VELLORE,632006
Ranipet,632402
KRISHNAGIRI,635001
HOSUR,635109
THIRUVALLUR,602001
THIRUTHANI,631209
PERIYAPALAYAM,601102
THIRUVALLUR,602001
ARAKKONAM,631005
CHIDAMBARAM,608701
PANRUTI,607106
VIRUDHACHALAM,606001
TITTAKUDI,606106
KATTUMANARKOIL,608301
MANNARGUDI,614001
THIRUTHURAIPOONDI,614713
KUMBAKONAM,612001
MAILADUTHURAI,609002
SIRKALI,609111
THIRUVARUR,610001
KARAIKAL,609602
ARANTHAGI,614616
AVUDAIYARKOIL,614618
PERMBALUR,621133
PATTUKOTTAI,614601
PUDUKOTTAI,622001
GANDHARAVAKOTTAI,622001
THANJAVUR,613008
Thiruvaiyaru,613204
ARIYALUR,621701
LALGUDI,621601
MANACHANALLUR,621005
THIRUCHIRAPALLI,620001
