cif,cust_pin_code
180000911287,324001
180000939922,457001
180001098202,524004
180001108728,400059
180001109104,452011
180001109177,342008
180001109222,247662
180001119437,394540
180001124025,473551
180001128758,516267
180001129319,246701
180001129417,393002
180001131449,712301
180001134923,587103
180001134975,563101
180001135053,500062
180001135138,756144
180001135201,505327
180001135207,560032
180001135648,400004
180001138176,560032
180001142992,110059
180001143571,612402
180001143645,507123
180001143812,122001
180001143936,570022
180001169147,110091
180001169205,303328
180001143991,742308
180001143763,521151
180001169549,333704
180001194532,721447
180001194736,600004
180001194764,413714
180001194803,851211
180001194957,502032
180001195068,110019
180001195119,614624
180001195155,560100
180001195226,560105
180001195290,421202
180001221328,560035
180001221608,322202
180001247320,600040
180001247397,201001
180001261400,302027
180001261480,841436
180001261719,600034
180001264010,533234
180001264556,464114
180001264611,500013
180001264615,505001
180001264639,110049
180001264974,110047
180001266522,560037
180001266644,641605
180001266675,500072
180001268725,382405
180001268770,302021
180001268877,384210
180001268878,110063
180001266444,335063
180001270815,248001
180001271246,335771
180001271559,395004
180001273403,532312
180001273519,390012
180001274039,500018
180001274079,414001
180001275480,522213
180001275695,500015
180001275967,110092
180001276047,110064
180001276691,500036
180001276847,500048
180001277028,110054
180001277173,641652
180001277537,522619
180001278750,795132
180001278976,400004
180001279007,201001
180001279071,412207
180001281043,110037
180001281917,400605
180001282568,500089
180001283467,560093
180001285216,440036
180001286600,600094
180001286606,380051
180001271925,250623
180001287513,229310
180001288482,500055
180001289693,400025
180001290082,755024
180001290260,584143
180001290327,281204
180001290401,641014
180001290762,110030
180001294438,400101
180001294539,520007
180001294565,431703
180001299462,752017
180001333013,505122
180001333033,110020
180001333036,390019
180000045236,560035
180000045240,516215
180000045426,516215
180000045431,522601
180000045432,562125
180000045433,524002
180000045574,341303
180000045594,524132
180000045601,560078
180000045609,524004
180000045638,382443
180000048782,517001
180000049039,562130
180000049662,560030
180000050531,560068
180000050565,711227
180000050590,560061
180000179985,500019
180000223011,110042
180000228847,360005
180000442731,500049
180000442751,768201
180000468008,560037
180000712633,411015
180000730291,700094
180000878754,500072
180001278622,110084
180001273535,506006
180001264552,110059
180001268823,110059
180001138375,360005
180001277153,532264
180001268749,324001
180001128506,491441
180001354808,306401
180001135167,503187
180001273913,560032
180001135080,243006
180000561350,482003
180001268441,508001
180001290527,202394
180001247424,533308
180001264829,395010
180001088764,202001
180001273467,201009
180001267173,500055
180000213084,560102
180001273494,500013
180001282588,461661
180001266819,515001
180001290120,380024
180001264861,400102
180001221476,522410
180001099469,486447
180001269311,700091
180001247053,136118
180001264427,507002
180001275726,600035
180001089229,275205
180001276743,121003
180001266848,201301
180001134749,421305
180001294387,303108
180001100294,303327
180001142419,600083
180001267900,516002
180001277410,636005
180001109201,322021
180001194840,382355
180001247358,506104
180000561489,152031
180001294305,518222
180001282723,582103
180001296410,600034
180001278458,624705
180001169285,532312
180001195133,382340
180001283005,400008
180001271283,110086
180001099647,110048
180001275970,625018
180001273504,571424
180001277282,600099
180001273096,413512
180001276678,127027
180001283456,122001
180001271671,471525
180001286705,500052
180001265226,360005
180001270852,311001
180000227431,332709
180000212900,394210
180001278851,560102
180000469877,612703
180001264069,641019
180001129401,500053
180001109234,473551
180001135253,641602
180001277344,500064
180001266794,400604
180001109940,509001
180001276643,440014
